	NH4...N..g.kg.	NO3...N..g.kg.	NO2...N..g.kg.	TN..g.kg.	TP..g.kg.	pH	SO42...g.kg.	Temperature..oC.	Salinity	Moisture....	TOC..g.kg.
Candidatus Falkowbacteria	0	0	0	0	0	0	0	0	0	0	0
Chlamydiae	0	0	0	0	0	0	0	0	0	0	0
Fibrobacteres	0	0	0	0	0	0	0	0	0	0	0
Candidatus Bathyarchaeota	0	0	0	0	0	0	0	0	0	0	0
Spirochaetes	0	0	0	0	0	0	0	0	0	0	0
Candidatus Parcubacteria	0.017130359	-0.11779242	-0.132826436	-0.137330991	-0.127375803	-0.023046034	-0.196995043	0.055871905	-0.00658111	-0.067830056	0.019488705
Candidatus Rokubacteria	-0.040879161	0.025990465	0.014729993	0.071016997	0.081090185	-0.158641099	0.075852878	-0.15355976	0.013707985	-0.006703571	-0.123931311
Candidatus Schekmanbacteria	0.036712561	-0.140457061	0.032857945	-0.010270179	0.073891866	0.004378942	0.040462299	-0.03034395	0.074605458	-0.028226905	-0.00202947
Candidatus Krumholzibacteriota	-0.013824922	-0.018646841	-0.014491161	0.008062167	-0.077892809	-0.082255699	-0.103620081	0.033207682	-0.075414405	0.129414078	-0.065868955
Thermoplasmatota	-0.027381497	-0.040247322	-0.069706029	-0.113588266	-0.11497221	-0.087982427	0.108044367	0.193135828	0.120431794	0.091124489	-0.146728636
Verrucomicrobia	-0.035277043	-0.039825243	-0.040239894	0.131402692	0.131576275	-0.131180855	-0.059794351	0.000571858	-0.088051619	-0.09635809	0.058682464
Other Proteobacteria	0.012754979	-0.092169663	-0.055501546	0.093906279	-0.015864051	0.18575321	-0.027769343	0.087256811	-0.068269602	-0.01475528	-0.00292532
Gemmatimonadetes	-0.089911114	-0.064143176	-0.054471011	0.127949571	0.048083461	0.067224722	-0.172603114	0.096084869	-0.137048073	-0.199566861	0.11266992
Betaproteobacteria	-0.124067398	0.049451586	-0.014243843	-0.125154579	0.042329829	0.093217565	-0.148586815	-0.027079643	-0.106685036	-0.137528302	0.228149339
Planctomycetes	-0.034152195	-0.005581648	0.00519	0.091550684	0.06750833	0.166600207	-0.075303382	0.191359132	-0.060118471	-0.050998632	0.060811962
Acidobacteria	0.090380271	0.174485683	-0.045319277	0.162864458	-0.086076142	0.172192899	-0.130915555	0.025193311	-0.117895892	-0.13648562	0.123769207
Chloroflexi	-0.135988169	-0.175538263	0.025194312	0.089555595	0.018172439	0.047656029	-0.029682915	0.069715672	-0.092106519	-0.187298236	0.011921622
